username,followers,reels,avg_views,max_views,avg_comments,max_comments,avg_likes,last_upload_days,posts_per_week,verdict,error
gadget_nissan_,0,12,348044,1683270,1481.9,8695,1301.6,0.1,7.6,ok,
gaeeeeurii,0,12,117201,278995,125.6,1074,818.8,7.7,0.5,ok,
gadget.life.withme,0,12,19653398,138758165,5601.0,32976,256500.3,1.9,0.1,ok,
gaemsung._.goods,0,12,4557,21887,114.8,307,46.8,118.5,1.4,ok,
g_home,,,,,,,,,,unknown,
gajigaji_house,0,12,26878,74988,211.2,698,82.8,8.3,2.6,ok,
gamdasallim,0,12,1852,3792,31.2,63,33.2,248.5,7.6,ok,
gamsung_salrim,0,12,526,1218,12.5,26,8.7,2.5,5.2,ok,
gappun.home,0,12,1437,3438,22.3,43,11.7,0.1,7.6,ok,
gamsung_salim7,0,12,75275,424989,116.2,819,1777.2,1.4,0.4,ok,
ganaeun_tem,0,12,27969,297473,741.6,7845,102.5,1.0,2.2,ok,
gasungbimoa,0,12,10056,102800,9.9,70,30.2,230.5,1.7,ok,
gentle_homes_,0,12,6578,56767,253.8,2547,79.0,191.5,3.1,ok,
gethoneyitem,0,12,75082,448306,767.9,3620,420.3,214.0,1.1,ok,
geniedeco_official,0,12,25120,288468,215.6,2493,178.1,92.2,1.2,ok,
gg_home__,0,12,59288,454297,1700.8,16565,270.9,0.2,0.5,ok,
geumson_tem,0,12,955,2461,1.9,14,1.7,0.1,5.2,ok,
ggachi._.tem,0,12,4391,7699,283.0,423,124.4,85.5,4.7,ok,
ggggul_ttem,0,12,3463,10251,49.2,377,12.3,3.3,4.0,ok,
ggimjjinlol,0,12,1441,3232,10.4,42,2.8,1.0,8.4,ok,
ggmimomo,0,12,723892,4052981,8032.7,53426,6027.1,1.4,0.2,ok,
ggom.tem,0,12,2787,5877,22.7,76,14.8,207.1,8.4,ok,
ggom_susalim,0,12,356011,1304463,4821.8,25350,1541.2,0.9,0.2,ok,
ggom_tem,0,12,4997,8993,161.5,440,50.1,0.5,3.8,ok,
ggomggom_nammae,0,12,2774,9679,47.7,192,24.7,128.5,5.2,ok,
ggomi_pic,0,12,153340,525008,104.0,936,1293.2,0.0,0.4,ok,
ggom.soo_,,,,,,,,,,unknown,
ggooww.2,0,12,36023,239857,744.2,6104,197.9,0.1,0.6,ok,
ggul.sallim,0,12,4918,10089,55.7,101,29.2,2.5,3.2,ok,
ggul_yang,0,12,453878,1612923,7068.9,25010,4260.9,1.0,0.6,ok,
ggulmat_salim,0,12,199299,1036307,2718.0,15890,1174.7,11.0,1.6,ok,
ggulggul._.tem,0,12,1887,6567,32.3,82,16.8,12.1,3.1,ok,
ggulpick_king,0,12,140436,1041170,39.5,348,720.8,76.1,0.4,ok,
ggultang.pick,0,12,63645,740665,1109.8,12937,386.8,22.0,0.5,ok,
ggultem.finder_,0,12,30851,360162,18.6,202,151.6,25.9,3.8,ok,
ggultem.guri,0,12,5458,31046,10.8,24,16.8,215.5,3.1,ok,
ggultem.hari,0,12,293846,3212179,166.3,944,6124.2,149.3,0.7,ok,
ggultem.here,0,12,16689,105314,249.6,1809,78.6,0.1,7.6,ok,
ggultem_ida,0,1,215,215,9.0,9,5.0,237.7,,ok,
ggultem_nott,0,11,12129,80295,255.5,1698,29.7,12.0,2.3,ok,
ggultem_mate,0,12,19820,171907,8.3,37,353.2,30.1,0.9,ok,
ggung.unni_home,0,12,94410,500468,1106.8,7735,344.2,0.1,0.7,ok,
ggultem_jipsa,0,12,7102,39346,36.5,123,43.3,2.1,1.2,ok,
ggushu_couple,0,12,3717,8412,2.9,10,16.5,0.9,4.7,ok,
ggyum2_note,0,12,243555,2408055,3157.8,34135,1883.7,0.1,0.4,ok,
ghddudal0150,0,4,2898,4670,21.8,39,12.8,254.3,1.0,ok,
ggung_unni,,,,,,,,,,unknown,
girin.home_,0,12,173976,807013,2550.7,15817,552.0,0.5,0.9,ok,
go.reun,0,12,2788,8753,71.2,196,31.7,51.5,6.0,ok,
gimmina7104,,,,,,,,,,unknown,
go_tem82,0,12,5364,56667,52.9,580,24.8,0.2,7.0,ok,
godlife_8282,0,12,487,642,26.8,45,15.9,210.0,7.6,ok,
girin.home,,,,,,,,,,unknown,
godofdeco,0,12,645674,3140248,1973.7,10861,4322.1,168.0,0.2,ok,
godtem.home,0,12,77104,556513,456.5,3157,350.4,0.1,0.2,ok,
gogohometem,0,12,2447,4586,170.0,217,91.3,90.5,3.5,ok,
going_home11,0,12,408,982,3.6,7,7.2,186.1,3.7,ok,
gogoon_home,0,12,1282,3083,40.2,84,19.7,0.9,8.4,ok,
golden_hand_fafa,0,12,80516,723210,2956.5,32153,450.0,1.5,1.2,ok,
goldgem_jewelry,0,12,647430,7589145,3319.1,39258,4270.0,3.1,0.2,ok,
golladrim,0,12,302,978,3.0,5,1.1,7.5,7.6,ok,
golla.zoom,0,12,2344,6486,32.3,164,8.2,1.9,9.3,ok,
gom._.zipsa,0,12,1083,2334,22.9,47,13.1,28.1,6.5,ok,
gom_ju_bu,0,12,1915,6570,41.5,194,13.0,0.1,7.6,ok,
gom_mama,0,12,10759,23102,62.5,235,59.2,2.4,0.2,ok,
gomson.recipe,0,12,46919,183718,2264.8,7989,259.1,0.4,6.0,ok,
gomgom__tem,0,12,3110,19840,37.5,209,11.2,0.5,4.0,ok,
gomson.salim,0,12,56365,183718,2782.8,9580,273.2,0.1,1.3,ok,
gonggan_formula,0,12,3235,9817,71.8,193,32.0,0.5,7.6,ok,
