category,channel_title,channel_id,channel_url,top_views,sample_title,status
기타,똑디템,UCOnSoSFUyeakdOOzAP0nnyw,https://www.youtube.com/channel/UCOnSoSFUyeakdOOzAP0nnyw,106593,이거 몰라서 100만원 날릴뻔 했어요😨 #셀프인테리어 #집꾸미기,이미있음
기타,이지라이프,UC5gGyUilbL-UEajnzm1meHw,https://www.youtube.com/channel/UC5gGyUilbL-UEajnzm1meHw,103873,정리중독자의 공간별 정리방법,등록예정
비법형,수복수복건강상식,UCH_Pudwwm9zGcKqty7uawqw,https://www.youtube.com/channel/UCH_Pudwwm9zGcKqty7uawqw,3884387,"선풍기에 비닐봉지를 씌우면, 놀라운 일이 벌어집니다! #선풍기청소 #살림꿀팁 #생활꿀팁",이미있음
비법형,바바라핵팁,UCbVa4V0hcnscgUFIklIwNEw,https://www.youtube.com/channel/UCbVa4V0hcnscgUFIklIwNEw,1333716,유통기한 지났다고 무조건 버리지 마세요! #생활꿀팁 #살림정보,이미있음
비법형,대왕민국,UCRgt9qiNGTokVKflV5oKtxw,https://www.youtube.com/channel/UCRgt9qiNGTokVKflV5oKtxw,1317176,옥수수 삶을때 소금말고 제발 이것 넣으세요!,이미있음
비법형,고수의살림,UCbnKLFEgzZhZh50XdsBiiBg,https://www.youtube.com/channel/UCbnKLFEgzZhZh50XdsBiiBg,856424,요리 초보들 사이에서 난리난 곰팡이 치즈 세척 방법,이미있음
비법형,언니쿡,UC3CgL5n3I84F_Olr8m4w6YA,https://www.youtube.com/channel/UC3CgL5n3I84F_Olr8m4w6YA,755936,박정수의 저렴한 소고기부위 맛있게 먹는 꿀팁,이미있음
비법형,셀럽창고,UC054SaZF48FkvF2Dr7NcjjA,https://www.youtube.com/channel/UC054SaZF48FkvF2Dr7NcjjA,712789,차예련은 이렇게 계란후라이 부친다는데,이미있음
비법형,버섯도리,UCYhUJGAH6HhOUJokzRupkpQ,https://www.youtube.com/channel/UCYhUJGAH6HhOUJokzRupkpQ,643620,방청소 빨리 하는 신박한 방법 🤣ㅋㅋㅋ,이미있음
비법형,진짜꿀팁 Realtips,UC-xbN0DAcrbMItADARCgvEg,https://www.youtube.com/channel/UC-xbN0DAcrbMItADARCgvEg,633856,알아두면 쓸모있는 생활 꿀팁 10가지 #살림팁 #꿀팁 #생활꿀팁,이미있음
비법형,라이프쇼크,UCAmo8dfpMtGsmqCkT9tpG4Q,https://www.youtube.com/channel/UCAmo8dfpMtGsmqCkT9tpG4Q,596925,금고업자만 알고있는 종이 한장의 정체! #공구 #수리팁 #생활꿀팁,이미있음
비법형,민수꿀팁,UCKjd3RSRCZoO6fe0DQDDEqw,https://www.youtube.com/channel/UCKjd3RSRCZoO6fe0DQDDEqw,589199,#fyp #생활꿀팁 #꿀팁 #생활정보,이미있음
비법형,스마트생활,UCHwINeOJoLzKXQPlI9mksNg,https://www.youtube.com/channel/UCHwINeOJoLzKXQPlI9mksNg,579573,세탁기에 물티슈를 넣으면 생기는 역대급 변화!,이미있음
비법형,인생 조언,UCdvy8zJAV-z2w55b1yYGQYA,https://www.youtube.com/channel/UCdvy8zJAV-z2w55b1yYGQYA,559294,음식과 젓갈 궁합 맞춰라 종가집 손맛 부럽지 않다  #젓갈활용법 #액젓용도 #요리꿀팁 #살림비법 #김치양념 ,이미있음
비법형,차부심,UChfbUKyVaBSBAe_GyoWpB_g,https://www.youtube.com/channel/UChfbUKyVaBSBAe_GyoWpB_g,446150,현관청소할때 절대 락스 쓰지마세요 #현관청소 #살림 #청소꿀팁,이미있음
비법형,생생정보티비,UC9aw6BYhWX3iWuC0-5bCNnQ,https://www.youtube.com/channel/UC9aw6BYhWX3iWuC0-5bCNnQ,437069,아랫집 피해 없이 방충망 청소 가장 쉬운 방법,이미있음
비법형,매일황금꿀팁,UCBMq94ou_QTpLr2nUkPNyOQ,https://www.youtube.com/channel/UCBMq94ou_QTpLr2nUkPNyOQ,402399,다 같은 소금 아닌가요? 요리별 찰떡궁합 소금 공식,이미있음
비법형,집밥 korean home cooking,UCrpB5PigomcupI9PTRKioog,https://www.youtube.com/channel/UCrpB5PigomcupI9PTRKioog,394616,호박전에 밀가루 넣지 말고 그냥 이거 붙이세요!,이미있음
비법형,생활 꿀팁,UC1Wb9PYrj-Bq4Sl-kZB21Dg,https://www.youtube.com/channel/UC1Wb9PYrj-Bq4Sl-kZB21Dg,378201,#fyp #생활꿀팁 #꿀팁,이미있음
비법형,sujinsaenghwaltip,UCey1fmkpitLcmBkhbIqzFHQ,https://www.youtube.com/channel/UCey1fmkpitLcmBkhbIqzFHQ,325664,#생활정보 #생활꿀팁 #꿀팁 #fyp,이미있음
비법형,원룸만들기,UCLqX6D0cDWGqMWToI4MZGDQ,https://www.youtube.com/channel/UCLqX6D0cDWGqMWToI4MZGDQ,315923,5평 미만은 모르면 손해. 이거 알면 자취 고수 인정,이미있음
비법형,ChoiRakuLife,UCFrLTjPprBx5gKZyxOP7LPg,https://www.youtube.com/channel/UCFrLTjPprBx5gKZyxOP7LPg,303667,감자 싹 1도 안 나게 평생 보관하는 황금 비결!,이미있음
제품형,이상한 과자가게  weird sweets shop,UCNYE6N9YZmsUyReBLzE9x9Q,https://www.youtube.com/channel/UCNYE6N9YZmsUyReBLzE9x9Q,2167517,10kg 수박을 샀는데 껍질만 4kg 억울하다면?,이미있음
제품형,Homterior Pick,UCICENAWQCaiMEkabXLr5Uhw,https://www.youtube.com/channel/UCICENAWQCaiMEkabXLr5Uhw,1553853,다이소가면 무조건 사오세요.,이미있음
제품형,베이비짤스,UCYl08GG5Fd-w1iE5mBZdKDA,https://www.youtube.com/channel/UCYl08GG5Fd-w1iE5mBZdKDA,1456804,1년 동안 나만 몰랐던 와플 기계 사용법,이미있음
제품형,요즘푸드,UCADDwkVYaVcf5yxBM0Avr_A,https://www.youtube.com/channel/UCADDwkVYaVcf5yxBM0Avr_A,1369739,이거 하나만 넣으면 완성 박정수 멕주수육,이미있음
제품형,하뉴,UCs4oAFxhxxVhtW-_ApKtkLQ,https://www.youtube.com/channel/UCs4oAFxhxxVhtW-_ApKtkLQ,1209827,업계인이 추천하는 쿠팡 추천템 TOP3,이미있음
제품형,픽하이,UC3oD1OnVPYOQ978FbkYbk5g,https://www.youtube.com/channel/UC3oD1OnVPYOQ978FbkYbk5g,1114541,쿠팡처돌이 추천 존맛간식,이미있음
제품형,집좋아,UCeJFWA2IezjWpD6RY2KQ0XA,https://www.youtube.com/channel/UCeJFWA2IezjWpD6RY2KQ0XA,1014033,놀라운 발상 하나로 대박난 제품의 정체,이미있음
제품형,리뷰하는 회사원,UCGtY9qyrQqqPlkNqAwccjNQ,https://www.youtube.com/channel/UCGtY9qyrQqqPlkNqAwccjNQ,973894,아무튼 짜장면임,이미있음
제품형,살림남 The Life,UCkEWsTetbUuGDg_O1S5UVBg,https://www.youtube.com/channel/UCkEWsTetbUuGDg_O1S5UVBg,946846,쿠팡보다 10배 싼 다이소 신상 3가지,이미있음
