채널ID,등급,상태,평균조회수,최대조회수,평균댓글,최대댓글,평균좋아요,마지막업로드(일전),주당업로드,주소
objey,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/objey/
pick_33,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/pick_33/
pickinbloom,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/pickinbloom/
pickzip,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/pickzip/
rapirapi001,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/rapirapi001/
richliving,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/richliving/
rita_mom_kr,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/rita_mom_kr/
roomplay,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/roomplay/
saju.min,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/saju.min/
smart_living_tips,D,판정불가,0,0,0.0,0,0.0,,,https://www.instagram.com/smart_living_tips/
